房屋信息,房屋价格,房屋位置,房屋单价
骏景花园  | 3室2厅 | 105平米 | 南 北 | 简装 | 有电梯,490,棠下,单价46667元/平米
华景新城怡华台  | 3室2厅 | 91平米 | 西南 | 精装 | 有电梯,480,华景新城,单价52748元/平米
芳草园  | 3室2厅 | 117.05平米 | 北 | 简装 | 有电梯,850,天河北,单价72619元/平米
保利百合花园二期  | 2室1厅 | 72.27平米 | 西南 | 精装 | 有电梯,315,江燕路,单价43587元/平米
汇侨新城东区  | 2室1厅 | 75.5平米 | 东北 | 简装 | 无电梯,186,新市,单价24636元/平米
华南碧桂园紫翠苑  | 3室2厅 | 107平米 | 东 | 简装 | 无电梯,325,华南,单价30374元/平米
保利林语山庄6区  | 3室2厅 | 111.55平米 | 南 | 其他 | 有电梯,375,科学城,单价33618元/平米
华南碧桂园叠翠苑  | 3室2厅 | 106.2平米 | 东北 | 其他 | 无电梯,318,华南,单价29944元/平米
时代玫瑰园  | 3室2厅 | 89.39平米 | 西北 | 其他 | 有电梯,350,白云大道北,单价39155元/平米
丰盈居  | 2室2厅 | 86.4平米 | 北 | 简装 | 有电梯,408,滨江东,单价47223元/平米
锦绣香江花园山水华府  | 3室2厅 | 90.7平米 | 东北 | 精装,385,华南,单价42448元/平米
棠德花园  | 2室1厅 | 55平米 | 东南 | 简装,170,棠下,单价30910元/平米
汇侨新城北区  | 2室1厅 | 61.78平米 | 西北 | 简装 | 有电梯,200,新市,单价32373元/平米
富力桃园  | 2室2厅 | 85.05平米 | 西北 | 其他 | 有电梯,290,罗冲围,单价34098元/平米
富力桃园  | 2室1厅 | 74.09平米 | 北 | 精装 | 有电梯,255,罗冲围,单价34418元/平米
新市花园一期  | 4室2厅 | 92.76平米 | 北 | 其他 | 无电梯,180,新市,单价19405元/平米
富力桃园  | 3室2厅 | 112平米 | 北 | 其他 | 有电梯,405,罗冲围,单价36161元/平米
百顺台花园  | 2室1厅 | 75平米 | 西 | 其他 | 有电梯,260,新市,单价34667元/平米
黄埔新村黄埔雅苑  | 3室2厅 | 98平米 | 南 北 | 其他 | 有电梯,358,区府,单价36531元/平米
万科新里程  | 3室2厅 | 90.07平米 | 西北 | 其他,272,科学城,单价30199元/平米
万科城市花园  | 2室1厅 | 80平米 | 东北 | 简装 | 有电梯,285,区府,单价35625元/平米
宝汉直街54号大院  | 2室1厅 | 43.1平米 | 北 | 简装 | 无电梯,125,麓景,单价29003元/平米
天诚广场世纪华都  | 1室1厅 | 36.35平米 | 东 | 简装 | 有电梯,270,天河北,单价74278元/平米
江南新村  | 2室2厅 | 73.77平米 | 南 | 简装,140,市桥,单价18978元/平米
石化生活区  | 1室1厅 | 36.88平米 | 南 北 | 精装 | 无电梯,88,区府,单价23862元/平米
自在城市花园  | 2室1厅 | 77平米 | 东南 | 简装 | 有电梯,218,华南,单价28312元/平米
六运小区  | 2室1厅 | 67.49平米 | 南 | 其他 | 无电梯,380,天河南,单价56305元/平米
中信广场  | 3室2厅 | 160.93平米 | 东南 | 其他 | 有电梯,860,天河北,单价53440元/平米
锦绣银湾  | 3室2厅 | 143.29平米 | 南 北 | 简装,520,大石,单价36291元/平米
东雅轩  | 3室1厅 | 83.71平米 | 东南 | 简装,680,东川路,单价81233元/平米
骏景花园  | 3室2厅 | 105平米 | 南 北 | 简装 | 有电梯,490,棠下,单价46667元/平米
华景新城怡华台  | 3室2厅 | 91平米 | 西南 | 精装 | 有电梯,480,华景新城,单价52748元/平米
芳草园  | 3室2厅 | 117.05平米 | 北 | 简装 | 有电梯,850,天河北,单价72619元/平米
保利百合花园二期  | 2室1厅 | 72.27平米 | 西南 | 精装 | 有电梯,315,江燕路,单价43587元/平米
汇侨新城东区  | 2室1厅 | 75.5平米 | 东北 | 简装 | 无电梯,186,新市,单价24636元/平米
华南碧桂园紫翠苑  | 3室2厅 | 107平米 | 东 | 简装 | 无电梯,325,华南,单价30374元/平米
保利林语山庄6区  | 3室2厅 | 111.55平米 | 南 | 其他 | 有电梯,375,科学城,单价33618元/平米
华南碧桂园叠翠苑  | 3室2厅 | 106.2平米 | 东北 | 其他 | 无电梯,318,华南,单价29944元/平米
丰盈居  | 2室2厅 | 86.4平米 | 北 | 简装 | 有电梯,408,滨江东,单价47223元/平米
锦绣香江花园山水华府  | 3室2厅 | 90.7平米 | 东北 | 精装,385,华南,单价42448元/平米
时代玫瑰园  | 3室2厅 | 89.39平米 | 西北 | 其他 | 有电梯,350,白云大道北,单价39155元/平米
棠德花园  | 2室1厅 | 55平米 | 东南 | 简装,170,棠下,单价30910元/平米
汇侨新城北区  | 2室1厅 | 61.78平米 | 西北 | 简装 | 有电梯,200,新市,单价32373元/平米
富力桃园  | 2室2厅 | 85.05平米 | 西北 | 其他 | 有电梯,290,罗冲围,单价34098元/平米
富力桃园  | 2室1厅 | 74.09平米 | 北 | 精装 | 有电梯,255,罗冲围,单价34418元/平米
新市花园一期  | 4室2厅 | 92.76平米 | 北 | 其他 | 无电梯,180,新市,单价19405元/平米
富力桃园  | 3室2厅 | 112平米 | 北 | 其他 | 有电梯,405,罗冲围,单价36161元/平米
百顺台花园  | 2室1厅 | 75平米 | 西 | 其他 | 有电梯,260,新市,单价34667元/平米
黄埔新村黄埔雅苑  | 3室2厅 | 98平米 | 南 北 | 其他 | 有电梯,358,区府,单价36531元/平米
万科新里程  | 3室2厅 | 90.07平米 | 西北 | 其他,272,科学城,单价30199元/平米
宝汉直街54号大院  | 2室1厅 | 43.1平米 | 北 | 简装 | 无电梯,125,麓景,单价29003元/平米
天诚广场世纪华都  | 1室1厅 | 36.35平米 | 东 | 简装 | 有电梯,270,天河北,单价74278元/平米
万科城市花园  | 2室1厅 | 80平米 | 东北 | 简装 | 有电梯,285,区府,单价35625元/平米
江南新村  | 2室2厅 | 73.77平米 | 南 | 简装,140,市桥,单价18978元/平米
石化生活区  | 1室1厅 | 36.88平米 | 南 北 | 精装 | 无电梯,88,区府,单价23862元/平米
自在城市花园  | 2室1厅 | 77平米 | 东南 | 简装 | 有电梯,218,华南,单价28312元/平米
六运小区  | 2室1厅 | 67.49平米 | 南 | 其他 | 无电梯,380,天河南,单价56305元/平米
中信广场  | 3室2厅 | 160.93平米 | 东南 | 其他 | 有电梯,860,天河北,单价53440元/平米
锦绣银湾  | 3室2厅 | 143.29平米 | 南 北 | 简装,520,大石,单价36291元/平米
东雅轩  | 3室1厅 | 83.71平米 | 东南 | 简装,680,东川路,单价81233元/平米
祈福水城  | 3室2厅 | 121平米 | 南 | 其他 | 有电梯,288,沙湾,单价23802元/平米
华江花园  | 3室2厅 | 128.49平米 | 南 | 其他,620,天河公园,单价48253元/平米
惠城花园  | 2室2厅 | 102.78平米 | 东北 | 其他 | 有电梯,360,西关,单价35027元/平米
金田花苑  | 3室2厅 | 120平米 | 北 | 简装 | 有电梯,680,天河北,单价56667元/平米
新世界东逸花园  | 3室2厅 | 126平米 | 西北 | 简装 | 有电梯,830,天河公园,单价65874元/平米
麓景路下塘村前街  | 3室1厅 | 93平米 | 南 北 | 精装,315,麓景,单价33871元/平米
怡港花园  | 3室2厅 | 105.77平米 | 东南 | 其他 | 有电梯,472,区府,单价44626元/平米
新世界东逸花园  | 3室2厅 | 100平米 | 南 | 简装 | 无电梯,620,天河公园,单价62000元/平米
翔韵雅居  | 3室2厅 | 98.88平米 | 南 北 | 其他,520,新港西,单价52589元/平米
碧桂园凤凰城凤妍苑  | 3室2厅 | 95平米 | 西北 | 其他,255,新塘,单价26843元/平米
富力桃园  | 2室2厅 | 83.2平米 | 西 | 其他 | 有电梯,295,罗冲围,单价35457元/平米
汇侨新城北区  | 2室1厅 | 69.6平米 | 北 | 简装 | 有电梯,188,新市,单价27012元/平米
保利红棉花园  | 2室1厅 | 62平米 | 北 | 简装 | 无电梯,205,江燕路,单价33065元/平米
同福中路  | 1室0厅 | 26.26平米 | 西 | 其他,90,宝岗,单价34273元/平米
豪景花园  | 4室1厅 | 106.21平米 | 北 | 精装 | 有电梯,370,粤垦,单价34837元/平米
美林海岸花园  | 7室2厅 | 156平米 | 东南 | 简装 | 无电梯,770,员村,单价49359元/平米
珠岛花园  | 4室2厅 | 108.7平米 | 东 | 其他 | 有电梯,370,大坦沙,单价34039元/平米
金田花苑  | 3室2厅 | 126.63平米 | 西北 | 简装 | 有电梯,620,天河北,单价48962元/平米
天誉华庭  | 4室2厅 | 203.01平米 | 南 北 | 精装 | 有电梯,1180,龙口西,单价58126元/平米
翡翠绿洲森林半岛  | 4室2厅 | 207平米 | 南 北 | 毛坯,450,新塘,单价21740元/平米
华葆明苑  | 3室2厅 | 120.2平米 | 南 北 | 其他,235,市桥,单价19551元/平米
云山居  | 3室2厅 | 102平米 | 东南 | 简装 | 无电梯,290,白云大道北,单价28432元/平米
保利花园静雅街  | 3室2厅 | 78.85平米 | 东南 | 简装 | 无电梯,330,工业大道中,单价41852元/平米
龙光峰景华庭  | 3室2厅 | 90平米 | 西北 | 其他 | 有电梯,245,科学城,单价27223元/平米
怡芳苑  | 2室2厅 | 120.04平米 | 东南 | 其他 | 有电梯,440,花地大道,单价36655元/平米
方圆月岛  | 3室2厅 | 133平米 | 南 | 精装 | 有电梯,1236.9,珠江新城中,单价93000元/平米
天河御品  | 3室2厅 | 110平米 | 南 | 简装 | 有电梯,528,同和,单价48000元/平米
赛拉维  | 2室2厅 | 75.59平米 | 南 | 简装 | 有电梯,410,员村,单价54240元/平米
骏汇大厦  | 2室2厅 | 88.7平米 | 西北 | 精装 | 有电梯,540,天河南,单价60880元/平米
富力天朗明居N区  | 2室1厅 | 78.1平米 | 北 | 其他 | 有电梯,325,棠下,单价41614元/平米
富力天朗明居N区  | 2室1厅 | 78.1平米 | 北 | 其他 | 有电梯,325,棠下,单价41614元/平米
盈彩美居  | 2室2厅 | 80平米 | 北 | 精装 | 有电梯,310,东圃,单价38750元/平米
金碧领秀国际  | 2室2厅 | 80.45平米 | 北 | 简装 | 有电梯,310,区府,单价38534元/平米
下塘西路  | 2室1厅 | 58平米 | 东南 | 简装 | 无电梯,185,麓景,单价31897元/平米
祈福新村湖景居  | 3室2厅 | 79.2平米 | 北 | 其他,200,祈福,单价25253元/平米
锦绣香江花园布查特国际公寓  | 1室2厅 | 88平米 | 东北 | 其他 | 有电梯,265,华南,单价30114元/平米
荔香花园  | 2室1厅 | 70.79平米 | 南 北 | 简装 | 无电梯,190,区府,单价26840元/平米
丽江花园丽影楼  | 3室1厅 | 88平米 | 西南 | 简装 | 无电梯,222,南浦,单价25228元/平米
华天国际广场  | 2室1厅 | 77.1平米 | 西 | 其他 | 有电梯,438,龙口东,单价56810元/平米
祈福新村E区  | 2室2厅 | 77.5平米 | 北 | 其他 | 无电梯,190,祈福,单价24517元/平米
机场路华明街白云明珠广场  | 2室1厅 | 48.27平米 | 北 | 精装 | 有电梯,165,机场路,单价34183元/平米
祈福新村月明轩  | 3室2厅 | 83.98平米 | 南 | 其他 | 无电梯,270,祈福,单价32151元/平米
金碧花园第三金碧  | 3室2厅 | 116.45平米 | 南 | 精装 | 有电梯,545,金碧,单价46802元/平米
华南碧桂园翠山蓝天苑  | 3室2厅 | 109平米 | 东北 | 精装 | 有电梯,420,华南,单价38533元/平米
金燕花园  | 3室2厅 | 109.74平米 | 南 | 简装 | 无电梯,380,粤垦,单价34628元/平米
华南碧桂园芳翠苑  | 3室2厅 | 107平米 | 北 | 简装 | 无电梯,320,华南,单价29907元/平米
淘金路  | 3室1厅 | 85.53平米 | 西南 | 其他 | 有电梯,480,淘金,单价56121元/平米
鹭苑公寓  | 2室1厅 | 80.6平米 | 南 北 | 精装 | 无电梯,280,新港西,单价34740元/平米
富荣新村  | 3室2厅 | 82.24平米 | 北 | 其他,275,江燕路,单价33439元/平米
广州碧桂园丽苑  | 3室1厅 | 96.3平米 | 西南 | 简装 | 无电梯,280,南浦,单价29076元/平米
金燕花园  | 3室2厅 | 88.59平米 | 西南 | 精装,280,粤垦,单价31607元/平米
富力天朗明居N区  | 2室1厅 | 64平米 | 西 | 精装 | 有电梯,308,棠下,单价48125元/平米
自在城市花园  | 3室2厅 | 104.65平米 | 东北 | 精装 | 有电梯,310,华南,单价29623元/平米
珠江广场水岸卫城  | 4室2厅 | 209平米 | 西北 | 其他 | 有电梯,1300,滨江东,单价62201元/平米
鸿翔大厦  | 3室2厅 | 121.24平米 | 东南 | 简装 | 有电梯,728,天河北,单价60047元/平米
华南碧桂园翠云山  | 4室2厅 | 153平米 | 北 | 其他 | 有电梯,459,华南,单价30000元/平米
海珠花园  | 3室2厅 | 96.08平米 | 东北 | 精装 | 有电梯,480,前进路,单价49959元/平米
丽江花园丽彦楼  | 3室1厅 | 88.57平米 | 西南 | 其他 | 有电梯,238,南浦,单价26872元/平米
骏景花园  | 4室2厅 | 135.5平米 | 南 | 其他,705,棠下,单价52030元/平米
新世界东逸花园  | 3室2厅 | 98平米 | 北 | 简装 | 无电梯,588,天河公园,单价60000元/平米
时尚明苑  | 3室2厅 | 86.21平米 | 北 | 精装,400,车陂,单价46399元/平米
白云高尔夫花园东区  | 3室2厅 | 96.99平米 | 西 | 其他 | 有电梯,360,黄石路,单价37118元/平米
白云高尔夫花园东区  | 3室2厅 | 100.9平米 | 东 西 | 其他 | 有电梯,408,黄石路,单价40437元/平米
富基广场  | 3室1厅 | 124平米 | 北 | 其他,550,滨江中,单价44355元/平米
华南碧桂园翠山蓝天苑  | 3室2厅 | 115平米 | 西南 | 其他 | 有电梯,455,华南,单价39566元/平米
天誉华庭  | 4室2厅 | 175.65平米 | 南 北 | 简装 | 有电梯,1168,龙口西,单价66496元/平米
富力新村  | 3室2厅 | 81.07平米 | 南 | 其他,248,东圃,单价30591元/平米
富力院士庭  | 2室2厅 | 92.6平米 | 东北 | 精装,550,东莞庄,单价59396元/平米
南景园  | 3室2厅 | 119平米 | 东南 | 精装,518,江燕路,单价43530元/平米
擎山苑  | 1室1厅 | 47.82平米 | 西南 | 其他 | 有电梯,150,同和,单价31368元/平米
六运小区  | 3室2厅 | 80平米 | 南 北 | 其他,435,天河南,单价54375元/平米
赛拉维  | 1室0厅 | 41.42平米 | 西 | 其他 | 有电梯,218,员村,单价52632元/平米
美林海岸花园  | 2室2厅 | 71.5平米 | 东 | 精装 | 无电梯,418,员村,单价58462元/平米
雅致花园  | 2室1厅 | 71.6平米 | 东北 | 精装 | 有电梯,270,江燕路,单价37710元/平米
东璟花园  | 2室1厅 | 80.98平米 | 北 | 精装,460,员村,单价56805元/平米
嘉仕花园  | 3室2厅 | 100平米 | 南 北 | 精装 | 有电梯,578,滨江东,单价57800元/平米
旭景家园D区  | 3室2厅 | 79.99平米 | 北 | 简装 | 有电梯,290,东圃,单价36255元/平米
城市家园  | 2室1厅 | 58.8平米 | 南 | 精装 | 有电梯,105,新塘,单价17858元/平米
珠岛花园  | 2室1厅 | 65.37平米 | 北 | 其他,225,大坦沙,单价34420元/平米
新月明珠花园  | 4室1厅 | 129平米 | 南 | 其他,480,大石,单价37210元/平米
番禺华景新城  | 3室2厅 | 125平米 | 北 | 精装,328,沙湾,单价26240元/平米
广州星河湾畅心园  | 3室2厅 | 129平米 | 东北 | 简装,500,华南,单价38760元/平米
保利百合花园雅园  | 3室2厅 | 101.39平米 | 西北 | 精装 | 有电梯,470,江燕路,单价46356元/平米
黄埔大道中锦明街  | 3室1厅 | 81.32平米 | 北 | 简装 | 无电梯,305,天河公园,单价37507元/平米
富力桃园  | 2室2厅 | 85.91平米 | 东北 | 其他 | 有电梯,310,罗冲围,单价36085元/平米
白云高尔夫花园西区  | 2室1厅 | 76平米 | 西南 | 其他 | 有电梯,260,黄石路,单价34211元/平米
嘉富广场东山一品  | 3室2厅 | 110平米 | 北 | 简装 | 有电梯,880,水荫,单价80000元/平米
金田花苑  | 3室2厅 | 95平米 | 东北 | 简装 | 无电梯,650,天河北,单价68422元/平米
锦绣生态园趣园  | 3室2厅 | 95.8平米 | 南 | 其他 | 无电梯,235,钟村,单价24531元/平米
芳华花园洛湖居  | 5室2厅 | 151.2平米 | 北 | 简装 | 无电梯,453.6,洛溪,单价30001元/平米
赛拉维  | 3室2厅 | 113.25平米 | 东 西 | 其他 | 有电梯,550,员村,单价48566元/平米
江湾花苑  | 3室2厅 | 109.38平米 | 北 | 其他 | 无电梯,380,滨江中,单价34742元/平米
南浦长大公司四分公司  | 2室1厅 | 77平米 | 西南 | 简装,160,南浦,单价20780元/平米
富丽家园华贵大厦  | 3室1厅 | 77.3平米 | 北 | 其他,145,大石,单价18759元/平米
富庭华园  | 3室2厅 | 69.4平米 | 北 | 其他 | 无电梯,195,大石,单价28098元/平米
保利林语山庄6区  | 3室2厅 | 98平米 | 东北 | 简装 | 无电梯,330,科学城,单价33674元/平米
金燕花园  | 2室2厅 | 71.8平米 | 南 | 其他 | 无电梯,268,粤垦,单价37326元/平米
金碧新城  | 3室1厅 | 88.01平米 | 西南 | 其他 | 有电梯,305,石井,单价34656元/平米
